"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar productos al carrito de compras","Agregar 2 producto con 5 cantidades al carrito de compras","SUCCESS","2025-05-30T14:40:43.3715997-05:00[America/Bogota]","0.0","72.04"
"Agregar productos al carrito de compras","Agregar 1 producto con 2 cantidades al carrito de compras","SUCCESS","2025-05-30T15:06:50.1746439-05:00[America/Bogota]","0.0","60.34"
