"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar productos al carrito de compras","Agregar 1 producto con 2 cantidades al carrito de compras","SUCCESS","2025-05-30T15:21:18.3294936-05:00[America/Bogota]","0.0","51.2"
"Agregar productos al carrito de compras","Agregar 2 producto con 5 cantidades al carrito de compras","SUCCESS","2025-05-30T15:22:10.8425945-05:00[America/Bogota]","0.0","45.45"
